161, 6.6456, 0.8972, 1.3594e-04, 0:00:00.684950, 765439.81, [tensor(0.5111, device='cuda:0'), tensor(0.5201, device='cuda:0')]
162, 6.5365, 0.8124, 1.3678e-04, 0:00:00.685206, 765153.84, [tensor(0.5128, device='cuda:0'), tensor(0.5177, device='cuda:0')]
163, 6.4978, 0.7034, 1.3762e-04, 0:00:00.685584, 764731.97, [tensor(0.5148, device='cuda:0'), tensor(0.5199, device='cuda:0')]
164, 6.5354, 0.7819, 1.3846e-04, 0:00:00.684460, 765987.79, [tensor(0.5124, device='cuda:0'), tensor(0.5182, device='cuda:0')]
165, 6.5616, 0.7408, 1.3930e-04, 0:00:00.683469, 767098.43, [tensor(0.5135, device='cuda:0'), tensor(0.5198, device='cuda:0')]
166, 6.4174, 1.0523, 1.4014e-04, 0:00:00.684445, 766004.57, [tensor(0.5100, device='cuda:0'), tensor(0.5196, device='cuda:0')]
167, 6.5176, 0.9987, 1.4098e-04, 0:00:00.683547, 767010.90, [tensor(0.5125, device='cuda:0'), tensor(0.5187, device='cuda:0')]
168, 6.4816, 0.7180, 1.4182e-04, 0:00:00.685026, 765354.89, [tensor(0.5104, device='cuda:0'), tensor(0.5214, device='cuda:0')]
169, 6.5149, 0.9149, 1.4266e-04, 0:00:00.680054, 770950.54, [tensor(0.5114, device='cuda:0'), tensor(0.5154, device='cuda:0')]
170, 6.4934, 1.6048, 1.4350e-04, 0:00:00.685780, 764513.40, [tensor(0.5111, device='cuda:0'), tensor(0.5207, device='cuda:0')]
171, 6.5160, 0.8882, 1.4434e-04, 0:00:00.682812, 767836.53, [tensor(0.5127, device='cuda:0'), tensor(0.5175, device='cuda:0')]
172, 6.5021, 0.9552, 1.4517e-04, 0:00:00.686826, 763349.09, [tensor(0.5144, device='cuda:0'), tensor(0.5198, device='cuda:0')]
173, 6.4450, 0.7880, 1.4601e-04, 0:00:00.684636, 765790.87, [tensor(0.5120, device='cuda:0'), tensor(0.5185, device='cuda:0')]
174, 6.4200, 0.7191, 1.4685e-04, 0:00:00.683234, 767362.28, [tensor(0.5114, device='cuda:0'), tensor(0.5191, device='cuda:0')]
175, 6.4890, 0.6599, 1.4769e-04, 0:00:00.681947, 768810.48, [tensor(0.5120, device='cuda:0'), tensor(0.5186, device='cuda:0')]
176, 6.4215, 0.7647, 1.4853e-04, 0:00:00.689432, 760463.69, [tensor(0.5153, device='cuda:0'), tensor(0.5229, device='cuda:0')]
177, 6.4582, 0.7501, 1.4937e-04, 0:00:00.687273, 762852.61, [tensor(0.5130, device='cuda:0'), tensor(0.5228, device='cuda:0')]
178, 6.3929, 0.8103, 1.5021e-04, 0:00:00.687737, 762337.93, [tensor(0.5110, device='cuda:0'), tensor(0.5210, device='cuda:0')]
179, 6.3690, 0.6319, 1.5105e-04, 0:00:00.686285, 763950.84, [tensor(0.5134, device='cuda:0'), tensor(0.5211, device='cuda:0')]
180, 6.3646, 0.6053, 1.5189e-04, 0:00:00.680466, 770483.76, [tensor(0.5109, device='cuda:0'), tensor(0.5173, device='cuda:0')]
